stock,strike,maturity,spot,vol,div_yield,price,delta,gamma,theta,vega,moneyness
MCD,280.0,0.30000000000000004,250.0,0.15,0.025,0.7953269172568582,0.08680528454640699,0.007681537318272371,-0.014456624062690727,0.21604323707641046,1.12
MCD,280.0,0.4,250.0,0.15,0.025,1.3502489461973681,0.12014809773383256,0.008416822901766844,-0.015728461648530343,0.3156308588162567,1.12
MCD,280.0,0.5,250.0,0.15,0.025,1.9324570795647062,0.14754409460782383,0.008660549660390367,-0.01607224580852302,0.4059632653307985,1.12
MCD,280.0,0.6,250.0,0.15,0.025,2.518386117376167,0.1702412027575769,0.008672584443770026,-0.01598559372940083,0.4878328749620639,1.12
MCD,280.0,0.7000000000000001,250.0,0.15,0.025,3.0969570889074376,0.18931026167584697,0.008571640523311221,-0.01569413088789108,0.5625139093422988,1.12
MCD,280.0,0.8,250.0,0.15,0.025,3.662909787051831,0.20555564298267423,0.008415476706658659,-0.015306655643561613,0.6311607529993993,1.12
MCD,280.0,0.9,250.0,0.15,0.025,4.213855426582214,0.2195692613624001,0.008233689784551513,-0.01487828614939216,0.6947175755715338,1.12
MCD,280.0,1.0,250.0,0.15,0.025,4.748883382189561,0.23178974037263445,0.00804201167834971,-0.014437875666383713,0.7539385948452854,1.12
MCD,290.0,0.1,250.0,0.15,0.025,0.0029489516180712383,0.0009149669364815982,0.00026163302450500343,-0.0005007069387729235,0.0024528096047344073,1.16
MCD,290.0,0.2,250.0,0.15,0.025,0.08121730030775831,0.014051552556043621,0.002133231694124545,-0.0040568212280277,0.039998094264835214,1.16
MCD,290.0,0.30000000000000004,250.0,0.15,0.025,0.29445680311284406,0.036958873665282214,0.003928230189073583,-0.0074245181467082295,0.11048147406769455,1.16
MCD,290.0,0.4,250.0,0.15,0.025,0.6081903019203629,0.06139119113405792,0.005102324885470517,-0.009585395589425965,0.1913371832051444,1.16
MCD,290.0,0.5,250.0,0.15,0.025,0.983411526655992,0.08430573562243217,0.005814174424923817,-0.01085764655469424,0.2725394261683039,1.16
MCD,290.0,0.6,250.0,0.15,0.025,1.3940323661423584,0.10495738148471395,0.006232174303214622,-0.011569644336353537,0.35055980455582253,1.16
MCD,290.0,0.7000000000000001,250.0,0.15,0.025,1.8238022759845087,0.12335242892918169,0.006466377311898428,-0.011934260180129904,0.42435601109333443,1.16
MCD,290.0,0.8,250.0,0.15,0.025,2.262604971750214,0.1397147520476688,0.00658423531542831,-0.012081218949769698,0.4938176486571232,1.16
MCD,290.0,0.9,250.0,0.15,0.025,2.704060628123834,0.1543079571382123,0.006627244261484224,-0.01208990400649549,0.5591737345627315,1.16
MCD,290.0,1.0,250.0,0.15,0.025,3.1440954183630367,0.1673784265418604,0.006621443254488431,-0.012009855744568743,0.6207603051082904,1.16
MCD,300.0,0.1,250.0,0.15,0.025,0.00017496851373539207,6.378197726051362e-05,2.1860021612820848e-05,-4.1882468094970706e-05,0.00020493770262019546,1.2
MCD,300.0,0.2,250.0,0.15,0.025,0.017399655340422426,0.0034574107072860923,0.000619529422997214,-0.0011806489563123289,0.011616176681197764,1.2
MCD,300.0,0.30000000000000004,250.0,0.15,0.025,0.09806807597183242,0.013929461544106334,0.0017281288999198266,-0.0032759382035796127,0.04860362531024513,1.2
MCD,300.0,0.4,250.0,0.15,0.025,0.25418389482871806,0.028725351651974596,0.0027626442256477,-0.005209572201909579,0.10359915846178877,1.2
