scenario,spot,strike,maturity,vol,price,delta,gamma,theta,vega,moneyness
Rising_100pct,200,110,0.25,0.5,90.64523957024323,0.9943992321160644,0.00031990319138883676,-0.010312898887681034,0.01599515956944184,0.55
Rising_100pct,200,110,0.5,0.5,91.99430070402946,0.9710199351357208,0.0009350206837701587,-0.01840903327483038,0.09350206837701588,0.55
Rising_100pct,200,110,1.0,0.5,95.9245511352155,0.9313173146928314,0.0013231733974887123,-0.023075740338385147,0.26463467949774244,0.55
Rising_100pct,200,120,0.1,0.5,80.24360546375867,0.9995538482408812,5.056978004495346e-05,-0.00724984159976197,0.0010113956008990692,0.6
Rising_100pct,200,120,0.25,0.5,80.87318813585352,0.9856762123597025,0.000727937442869285,-0.01634226931799497,0.03639687214346425,0.6
Rising_100pct,200,120,0.5,0.5,82.87271568554645,0.950517692656665,0.0014464973547406615,-0.025690693782517912,0.14464973547406618,0.6
Rising_100pct,200,120,1.0,0.5,87.93646302821497,0.9051810833820915,0.0016878103909246547,-0.02822204665092422,0.33756207818493095,0.6
Rising_200pct,300,80,0.1,0.8,220.15984068848928,0.9999999581801833,3.049655402764452e-09,-0.004375043192840858,2.1957518899904053e-07,0.26666666666666666
Rising_200pct,300,80,0.25,0.8,220.40624973560602,0.9997816823256034,6.853942628055265e-06,-0.004898516840902717,0.0012337096730499477,0.26666666666666666
Rising_200pct,300,80,0.5,0.8,221.0592917968293,0.9958188036401663,7.263304580399382e-05,-0.009987832068655982,0.02614789648943778,0.26666666666666666
Rising_200pct,300,80,1.0,0.8,223.81828267450976,0.981108208188253,0.00019220528294980555,-0.019029577382448554,0.13838780372386,0.26666666666666666
Rising_200pct,300,90,0.1,0.8,210.1798276117638,0.9999995047516798,3.3172649874036304e-08,-0.0049242625988799305,2.3884307909306143e-06,0.3
Rising_200pct,300,90,0.25,0.8,210.47162035608966,0.9993644633611071,1.84866019319444e-05,-0.0063538863251639665,0.0033275883477499922,0.3
Rising_200pct,300,90,0.5,0.8,211.4052979418799,0.9924268877750011,0.00012307786599759677,-0.014441364132995056,0.04430803175913485,0.3
Rising_200pct,300,90,1.0,0.8,215.14220610211726,0.9731944750064209,0.00025815203915499163,-0.024578360152492984,0.18586946819159397,0.3
Rising_200pct,300,100,0.1,0.8,200.19986217255598,0.9999962158025553,2.3346289164623617e-07,-0.005486859678475681,1.6809328198529004e-05,0.3333333333333333
Rising_200pct,300,100,0.25,0.8,200.55804434236023,0.9984569583309367,4.172701981157542e-05,-0.008715942558114488,0.007510863566083575,0.3333333333333333
Rising_200pct,300,100,0.5,0.8,201.888036494525,0.9875390409857687,0.00019015792517956226,-0.020175402085467135,0.06845685306464241,0.3333333333333333
Rising_200pct,300,100,1.0,0.8,206.75243242707754,0.9639325168935502,0.0003299872269264214,-0.030553913940549828,0.2375908033870234,0.3333333333333333
Rising_200pct,300,110,0.1,0.8,190.22014579195886,0.9999793689526393,1.1746961456257613e-06,-0.00610768369005666,8.457812248505482e-05,0.36666666666666664
Rising_200pct,300,110,0.25,0.8,190.68256735499037,0.9967433519383131,8.20907757644783e-05,-0.012413761935745333,0.014776339637606096,0.36666666666666664
Rising_200pct,300,110,0.5,0.8,192.54174325894192,0.9809661341286431,0.00027355701617558286,-0.02716001097383509,0.09848052582320985,0.36666666666666664
Rising_200pct,300,110,1.0,0.8,198.65921406026615,0.9534364143865627,0.000405937128741642,-0.036817598665406424,0.29227473269398224,0.36666666666666664
Rising_200pct,300,120,0.1,0.8,180.24140853519373,0.9999137965915883,4.536374779259635e-06,-0.006918636171200912,0.00032661898410669374,0.4
Rising_200pct,300,120,0.25,0.8,180.8686523830056,0.9938466678890181,0.00014489480575014777,-0.017859390041858225,0.026081065035026597,0.4
Rising_200pct,300,120,0.5,0.8,183.398641370743,0.9725905508670305,0.0003719329657094027,-0.035285588740323615,0.133895867655385,0.4
Rising_200pct,300,120,1.0,0.8,190.8675885150577,0.941834705636222,0.0004844007083873055,-0.043244922918001576,0.34876851003885995,0.4
Low_Vol,100,80,0.1,0.1,20.159840106613558,0.9999999999995177,1.1088061670841958e-12,-0.004374803281978644,1.108806167084196e-12,0.8
Low_Vol,100,80,0.25,0.1,20.399003936337706,0.9999977610543662,2.144387224657669e-06,-0.004361979897926606,5.360968061644172e-06,0.8
Low_Vol,100,80,0.5,0.1,20.79682248253451,0.9995696573826183,0.00021871558659702174,-0.004367503135464102,0.0010935779329851087,0.8
Low_Vol,100,80,1.0,0.1,21.60598740545764,0.9934572807393143,0.0018357820019769394,-0.004511188804022802,0.018357820019769395,0.8
Low_Vol,100,90,0.1,0.1,10.180084866404542,0.9996761952614344,0.00037552838439389164,-0.004971307157299925,0.00037552838439389164,0.9
Low_Vol,100,90,0.25,0.1,10.471524404456318,0.9871994669403541,0.006606125946530025,-0.0057404787482687215,0.016515314866325063,0.9
